 ,10MKC01DE502XQ01,10MBY10CE901XQ01,10MKG18FP001ZQ01,10MKW31CP901XQ01,10MKW31CP902XQ01,10MKW31CP903XQ01,10MKG31CQ001AZQ01,10MKG32CQ001AZQ01
,REACTIVE POWER,ACTIVE POWER,PRES H2 GEN CASING,DIFFPRES SEAL OIL/H2,DIFFPRES SEAL OIL/H2,DIFFPRES SEAL OIL/H2,PURITY H2 ANALYZER 1,PURITY H2 ANALYZER 2
Date Time,Mvar,MW,bar,bar,bar,bar,% H2,% H2
9/5/2021 12:00:00 AM,-19.95361,621.7188,4.044547,1.160993,1.158823,1.163525,96.37514,96.24348
9/5/2021 12:01:00 AM,-12.87915,617.5,4.044547,1.155206,1.153036,1.156652,96.37514,96.24348
9/5/2021 12:02:00 AM,-20.27106,621.6146,4.044547,1.155206,1.155206,1.16027,96.37514,96.24348
9/5/2021 12:03:00 AM,-44.21539,624.8958,4.044547,1.162439,1.162078,1.162439,96.3737,96.24348
9/5/2021 12:04:00 AM,-24.89667,622.7083,4.044547,1.155929,1.16027,1.162439,96.3737,96.24348
9/5/2021 12:05:00 AM,-14.91986,622.4479,4.044547,1.160269,1.16027,1.162439,96.3737,96.24348
9/5/2021 12:06:00 AM,-15.37335,623.75,4.041774,1.160269,1.150504,1.166057,96.3737,96.24348
9/5/2021 12:07:00 AM,-9.341919,622.2396,4.041774,1.154121,1.156652,1.157376,96.3737,96.24348
9/5/2021 12:08:00 AM,-27.88971,623.8021,4.041774,1.161716,1.161355,1.166418,96.3737,96.24348
9/5/2021 12:09:00 AM,-25.44086,622.9166,4.041774,1.154121,1.154121,1.159184,96.3737,96.24204
9/5/2021 12:10:00 AM,-20.5885,622.6563,4.041774,1.156291,1.157376,1.159184,96.3737,96.24204
9/5/2021 12:11:00 AM,-24.21643,625,4.041774,1.158461,1.164248,1.170396,96.3737,96.24204
9/5/2021 12:12:00 AM,-28.5246,615.7813,4.041774,1.150143,1.160993,1.164609,96.3737,96.24204
9/5/2021 12:13:00 AM,-16.86987,608.6979,4.041774,1.158099,1.160269,1.160993,96.3737,96.24204
9/5/2021 12:14:00 AM,-11.97217,604.4791,4.041774,1.164971,1.164248,1.166056,96.3737,96.24204
9/5/2021 12:15:00 AM,16.68848,607.5,4.041774,1.156653,1.159546,1.163525,96.3737,96.24204
9/5/2021 12:16:00 AM,26.48389,611.6666,4.041774,1.156653,1.159908,1.160269,96.3737,96.24204
9/5/2021 12:17:00 AM,24.94202,615.3646,4.041774,1.154121,1.159908,1.164971,96.3737,96.24204
9/5/2021 12:18:00 AM,10.521,621.1458,4.041774,1.160631,1.159908,1.164971,96.3737,96.24204
9/5/2021 12:19:00 AM,25.30481,622.8125,4.041774,1.158461,1.163525,1.164971,96.3737,96.24204
9/5/2021 12:20:00 AM,40.95026,621.6146,4.041774,1.160269,1.161716,1.16895,96.3737,96.24204
9/5/2021 12:21:00 AM,22.85596,623.2813,4.041774,1.164609,1.163525,1.16895,96.3737,96.24204
9/5/2021 12:22:00 AM,26.98273,616.875,4.041774,1.164609,1.163525,1.16895,96.3737,96.24204
9/5/2021 12:23:00 AM,46.12006,614.7396,4.041774,1.158099,1.158823,1.168227,96.3737,96.24204
9/5/2021 12:24:00 AM,43.44446,619.5313,4.041774,1.163525,1.162078,1.177269,96.3737,96.24204
9/5/2021 12:25:00 AM,48.07007,620.5729,4.041774,1.163525,1.165695,1.16678,96.3737,96.24204
9/5/2021 12:26:00 AM,34.87347,622.7604,4.041774,1.165333,1.165695,1.170035,96.37153,96.24204
9/5/2021 12:27:00 AM,39.72583,614.5833,4.041774,1.157738,1.16678,1.165695,96.37153,96.24204
9/5/2021 12:28:00 AM,39.72583,616.4063,4.041774,1.16895,1.164971,1.165695,96.37153,96.24204
9/5/2021 12:29:00 AM,66.02832,621.25,4.041774,1.155206,1.155568,1.160993,96.37153,96.24204
