 ,10MKD12CY021XQ01,10MKD12CY022XQ01,10MKD11CY021XQ01,10MKD11CY022XQ01,10MKC01DE502XQ01,10MKC01EU001ZQ01,10MKD12CY901XQ01,10MKD11CY901XQ01,10MBY10CE901XQ01
,VIB GEN BRG CSG EE,VIB GEN BRG CSG EE,VIB GEN BRG CSG TE,VIB GEN BRG CSG TE,REACTIVE POWER,EXC CURRENT,REL S-VIB GEN BRG EE,REL S-VIB GEN BRG TE,ACTIVE POWER
Date Time,mm/s,mm/s,mm/s,mm/s,Mvar,A,µm pk-pk,µm pk-pk,MW
9/5/2021 12:00:00 AM,1.646412,1.644242,0.7320601,0.7834201,-19.95361,3264.612,35.59028,24.28747,621.7188
9/5/2021 12:01:00 AM,1.61169,1.645689,0.7060185,0.7740162,-12.87915,3279.08,37.52532,24.28747,617.5
9/5/2021 12:02:00 AM,1.626157,1.66088,0.7400174,0.7667824,-20.27106,3279.08,37.52532,24.9566,621.6146
9/5/2021 12:03:00 AM,1.618924,1.658709,0.7110822,0.7566551,-44.21539,3217.593,35.04774,24.9566,624.8958
9/5/2021 12:04:00 AM,1.633391,1.660156,0.7392939,0.7776331,-24.89667,3274.016,36.67535,24.9566,622.7083
9/5/2021 12:05:00 AM,1.626157,1.660156,0.7320601,0.7776331,-14.91986,3274.016,36.67535,24.9566,622.4479
9/5/2021 12:06:00 AM,1.626157,1.686921,0.7530382,0.7776331,-15.37335,3280.888,37.18171,24.9566,623.75
9/5/2021 12:07:00 AM,1.626157,1.658709,0.7313368,0.7776331,-9.341919,3311.27,37.18171,24.9566,622.2396
9/5/2021 12:08:00 AM,1.632668,1.658709,0.7530382,0.7776331,-27.88971,3259.91,37.18171,24.9566,623.8021
9/5/2021 12:09:00 AM,1.618924,1.652922,0.7465277,0.7993345,-25.44086,3264.974,35.75304,24.9566,622.9166
9/5/2021 12:10:00 AM,1.639902,1.658709,0.7537615,0.8188657,-20.5885,3264.974,38.03168,24.59491,622.6563
9/5/2021 12:11:00 AM,1.632668,1.679688,0.7458044,0.7906539,-24.21643,3272.569,36.38599,24.79384,625
9/5/2021 12:12:00 AM,1.637008,1.658709,0.7523148,0.7906539,-28.5246,3212.891,37.25405,24.79384,615.7813
9/5/2021 12:13:00 AM,1.637008,1.673177,0.7248263,0.7942708,-16.86987,3228.443,37.25405,24.79384,608.6979
9/5/2021 12:14:00 AM,1.649305,1.673177,0.7595486,0.7942708,-11.97217,3205.657,37.25405,24.79384,604.4791
9/5/2021 12:15:00 AM,1.636285,1.660156,0.7537615,0.7906539,16.68848,3305.121,36.47642,24.79384,607.5
9/5/2021 12:16:00 AM,1.636285,1.660156,0.7609953,0.7486979,26.48389,3353.949,36.47642,24.79384,611.6666
9/5/2021 12:17:00 AM,1.636285,1.665943,0.7306134,0.7776331,24.94202,3369.502,35.26476,24.79384,615.3646
9/5/2021 12:18:00 AM,1.636285,1.665943,0.7675058,0.7899305,10.521,3338.397,36.82002,24.79384,621.1458
9/5/2021 12:19:00 AM,1.636285,1.665943,0.7465277,0.7899305,25.30481,3379.991,36.53067,25.67998,622.8125
9/5/2021 12:20:00 AM,1.636285,1.665943,0.7530382,0.7899305,40.95026,3434.606,36.31366,24.28747,621.6146
9/5/2021 12:21:00 AM,1.639902,1.660156,0.7653356,0.7486979,22.85596,3382.885,38.26678,24.43215,623.2813
9/5/2021 12:22:00 AM,1.650029,1.681858,0.7718461,0.8116319,26.98273,3366.609,37.18171,24.43215,616.875
9/5/2021 12:23:00 AM,1.626157,1.674624,0.754485,0.7978877,46.12006,3424.479,37.18171,24.61299,614.7396
9/5/2021 12:24:00 AM,1.639178,1.658709,0.7465277,0.8159722,43.44446,3440.755,38.37529,24.61299,619.5313
9/5/2021 12:25:00 AM,1.632668,1.686921,0.7465277,0.7689525,48.07007,3440.755,34.90307,24.97468,620.5729
9/5/2021 12:26:00 AM,1.626157,1.668837,0.7609953,0.7848669,34.87347,3417.245,35.40943,24.97468,622.7604
9/5/2021 12:27:00 AM,1.639178,1.668837,0.7609953,0.8116319,39.72583,3396.991,38.06785,24.97468,614.5833
9/5/2021 12:28:00 AM,1.647859,1.674624,0.7609953,0.8123553,39.72583,3396.991,37.76042,24.97468,616.4063
9/5/2021 12:29:00 AM,1.633391,1.631944,0.7458044,0.7776331,66.02832,3487.052,35.40943,24.97468,621.25
9/5/2021 12:30:00 AM,1.634838,1.665943,0.7458044,0.7848669,64.66785,3518.157,36.45833,24.97468,621.0938
9/5/2021 12:31:00 AM,1.639902,1.674624,0.760272,0.7747396,59.95154,3505.136,36.45833,24.97468,623.125
9/5/2021 12:32:00 AM,1.639902,1.701389,0.760272,0.7863137,55.23523,3480.179,36.45833,24.97468,623.3333
9/5/2021 12:33:00 AM,1.639902,1.671007,0.7581018,0.7863137,55.23523,3480.179,36.45833,24.08854,624.3229
9/5/2021 12:34:00 AM,1.632668,1.671007,0.7392939,0.8000578,42.49213,3427.734,36.45833,23.83536,623.9583
9/5/2021 12:35:00 AM,1.636285,1.671007,0.7675058,0.796441,39.95258,3438.585,36.45833,24.61299,624.3229
9/5/2021 12:36:00 AM,1.654369,1.671007,0.7609953,0.7978877,35.78046,3413.628,36.45833,24.61299,624.3229
9/5/2021 12:37:00 AM,1.639902,1.682581,0.7364004,0.7848669,31.60834,3413.628,36.45833,24.61299,624.8438
9/5/2021 12:38:00 AM,1.639902,1.674624,0.7559317,0.7978877,33.05951,3402.054,36.45833,24.61299,622.8125
9/5/2021 12:39:00 AM,1.654369,1.665943,0.7349537,0.7993345,30.47461,3411.458,35.93388,24.61299,624.9479
9/5/2021 12:40:00 AM,1.654369,1.665943,0.760272,0.8051215,15.78149,3356.843,36.13281,24.61299,620.625
9/5/2021 12:41:00 AM,1.625434,1.660156,0.7494213,0.8051215,20.4978,3363.715,36.11473,25.58955,616.6666
9/5/2021 12:42:00 AM,1.639178,1.660156,0.7494213,0.7993345,32.28857,3414.352,35.95197,26.89164,623.4375
9/5/2021 12:43:00 AM,1.639178,1.674624,0.750868,0.7906539,28.93274,3414.352,36.47642,23.81727,624.375
9/5/2021 12:44:00 AM,1.639178,1.660156,0.7465277,0.7906539,26.52924,3384.693,37.18171,24.7215,625.8854
9/5/2021 12:45:00 AM,1.625434,1.663773,0.7458044,0.7906539,25.35016,3390.842,35.59028,24.7215,623.4896
9/5/2021 12:46:00 AM,1.632668,1.663773,0.7675058,0.7906539,16.86987,3375.651,36.11473,24.7215,623.2291
9/5/2021 12:47:00 AM,1.632668,1.673177,0.7573785,0.7906539,19.09198,3375.651,37.52532,24.7215,625.4166
9/5/2021 12:48:00 AM,1.632668,1.660156,0.7421875,0.7776331,24.57922,3398.076,38.21253,24.7215,623.8021
9/5/2021 12:49:00 AM,1.632668,1.652922,0.7740162,0.8188657,12.96985,3364.438,38.06785,26.0055,624.4271
9/5/2021 12:50:00 AM,1.637008,1.660156,0.7465277,0.7631655,17.09662,3364.438,36.82002,24.79384,621.6666
9/5/2021 12:51:00 AM,1.637008,1.701389,0.7494213,0.7921007,23.3548,3389.033,36.83811,24.79384,623.2813
9/5/2021 12:52:00 AM,1.637008,1.673177,0.7465277,0.7921007,24.44318,3402.054,36.83811,24.79384,625.4688
9/5/2021 12:53:00 AM,1.637008,1.660156,0.7855902,0.7993345,10.61169,3369.141,38.75506,24.79384,625.9375
9/5/2021 12:54:00 AM,1.637008,1.674624,0.7667824,0.8051215,10.65704,3336.588,36.45833,24.79384,620.5729
9/5/2021 12:55:00 AM,1.637008,1.646412,0.7747396,0.8123553,10.65704,3356.843,36.45833,24.79384,625.2083
9/5/2021 12:56:00 AM,1.640625,1.689091,0.8101851,0.8123553,10.02216,3356.843,36.45833,23.4375,624.8438
9/5/2021 12:57:00 AM,1.640625,1.674624,0.8101851,0.7978877,12.56171,3356.843,36.45833,24.61299,622.7083
9/5/2021 12:58:00 AM,1.632668,1.674624,0.7595486,0.7978877,9.886108,3355.035,36.45833,24.61299,623.8541
9/5/2021 12:59:00 AM,1.640625,1.673177,0.78125,0.8260995,8.480286,3347.801,36.45833,24.61299,625.4166
9/5/2021 1:00:00 AM,1.640625,1.674624,0.7884838,0.8195891,19.86292,3376.374,36.45833,24.61299,624.3229
9/5/2021 1:01:00 AM,1.640625,1.674624,0.78125,0.8260995,18.91058,3376.374,36.45833,24.61299,623.9063
9/5/2021 1:02:00 AM,1.653646,1.674624,0.7675058,0.8051215,8.888428,3345.631,37.01895,24.61299,623.8021
9/5/2021 1:03:00 AM,1.639178,1.674624,0.7957175,0.8188657,12.6524,3366.609,35.95197,24.61299,624.8958
9/5/2021 1:04:00 AM,1.647135,1.674624,0.7892072,0.8224826,14.55707,3366.609,36.85619,24.61299,624.9479
9/5/2021 1:05:00 AM,1.647135,1.674624,0.7957175,0.8260995,18.23035,3379.991,36.45833,24.61299,624.3229
9/5/2021 1:06:00 AM,1.647135,1.674624,0.7884838,0.8333333,21.76758,3378.183,39.6412,25.15553,624.3229
9/5/2021 1:07:00 AM,1.617477,1.674624,0.7884838,0.8297164,18.91058,3378.183,35.95197,25.15553,623.8021
9/5/2021 1:08:00 AM,1.647135,1.658709,0.796441,0.8224826,9.79541,3351.418,35.95197,24.79384,623.3854
9/5/2021 1:09:00 AM,1.647135,1.675347,0.78125,0.8615451,-2.720947,3332.972,34.54138,24.79384,624.4271
9/5/2021 1:10:00 AM,1.647859,1.66088,0.7957175,0.8398438,-11.56403,3288.484,37.88701,24.79384,621.0938
9/5/2021 1:11:00 AM,1.628327,1.67173,0.7957175,0.8268229,-13.33264,3258.102,36.67535,24.79384,616.4063
9/5/2021 1:12:00 AM,1.639902,1.67173,0.7884838,0.8195891,-1.04303,3314.164,36.47642,24.79384,621.1979
9/5/2021 1:13:00 AM,1.639902,1.687645,0.7783564,0.8123553,-2.5849,3321.397,36.47642,24.79384,621.6146
9/5/2021 1:14:00 AM,1.645689,1.664496,0.7892072,0.8123553,-13.74078,3295.356,36.47642,25.67998,624.8438
9/5/2021 1:15:00 AM,1.639902,1.664496,0.760272,0.8101851,-13.33264,3276.186,36.83811,26.36719,620.1041
9/5/2021 1:16:00 AM,1.640625,1.66739,0.7458044,0.8608217,0.1360474,3330.078,36.83811,25.28212,623.8021
9/5/2021 1:17:00 AM,1.632668,1.685475,0.7819734,0.8116319,-16.46173,3289.93,36.83811,25.28212,623.8541
9/5/2021 1:18:00 AM,1.632668,1.66088,0.7819734,0.8043981,-13.65009,3300.419,36.83811,24.2513,621.0938
9/5/2021 1:19:00 AM,1.632668,1.66088,0.7884838,0.8116319,-4.262817,3321.036,36.83811,24.45023,623.8541
9/5/2021 1:20:00 AM,1.639902,1.638455,0.7798032,0.8159722,-18.86523,3279.441,36.83811,23.72685,623.2291
9/5/2021 1:21:00 AM,1.631944,1.66739,0.7754629,0.8159722,-9.79541,3293.186,36.83811,26.72888,622.8646
9/5/2021 1:22:00 AM,1.631944,1.674624,0.7754629,0.8101851,-13.33264,3293.186,37.88701,25.24595,622.7083
9/5/2021 1:23:00 AM,1.631944,1.66088,0.7826967,0.8260995,-32.65137,3230.613,37.52532,25.24595,620.1041
9/5/2021 1:24:00 AM,1.631944,1.66088,0.7884838,0.8260995,-23.40015,3230.613,36.82002,25.24595,613.6458
9/5/2021 1:25:00 AM,1.631944,1.66088,0.7884838,0.8260995,-11.60938,3263.527,36.82002,25.24595,616.875
9/5/2021 1:26:00 AM,1.631944,1.66088,0.7863137,0.8101851,-9.432617,3298.973,36.82002,24.43215,620.5729
9/5/2021 1:27:00 AM,1.632668,1.680411,0.8000578,0.8195891,-21.45013,3252.677,37.52532,24.2513,619.5313
9/5/2021 1:28:00 AM,1.632668,1.674624,0.7798032,0.8260995,-34.82813,3221.571,37.00087,25.35446,615.7813
9/5/2021 1:29:00 AM,1.631221,1.658709,0.7682291,0.7906539,-19.09198,3235.677,37.00087,25.35446,607.1354
9/5/2021 1:30:00 AM,1.631221,1.687645,0.796441,0.792824,-7.255859,3266.421,35.73495,25.35446,614.2708
9/5/2021 1:31:00 AM,1.639902,1.663773,0.7747396,0.8260995,-7.119812,3266.421,36.13281,25.35446,617.3958
9/5/2021 1:32:00 AM,1.639902,1.663773,0.7892072,0.8253762,-11.74542,3287.76,37.5434,25.35446,622.2396
9/5/2021 1:33:00 AM,1.632668,1.686198,0.796441,0.8188657,-9.024475,3287.76,35.59028,27.77778,620.0521
9/5/2021 1:34:00 AM,1.632668,1.680411,0.8029513,0.8405671,-32.10718,3218.316,37.18171,24.43215,619.6354
9/5/2021 1:35:00 AM,1.6182,1.657986,0.823206,0.8405671,-34.05719,3218.316,38.64656,25.13744,614.6354
9/5/2021 1:36:00 AM,1.632668,1.645689,0.8015046,0.8333333,-30.11182,3235.677,36.40408,25.13744,618.4375
9/5/2021 1:37:00 AM,1.632668,1.682581,0.7740162,0.8188657,-11.70007,3287.76,36.40408,24.9566,619.6875
9/5/2021 1:38:00 AM,1.639178,1.701389,0.7957175,0.8405671,-21.31409,3263.166,36.20515,24.9566,622.2396
9/5/2021 1:39:00 AM,1.639178,1.660156,0.796441,0.8405671,-24.08038,3249.783,37.48915,25.51722,617.3958
9/5/2021 1:40:00 AM,1.647859,1.66956,0.796441,0.8355035,-16.73383,3274.016,37.10938,25.51722,622.3438
9/5/2021 1:41:00 AM,1.639902,1.694878,0.7957175,0.8123553,-24.39783,3266.782,37.10938,25.01085,622.2916
9/5/2021 1:42:00 AM,1.635561,1.702112,0.8029513,0.8405671,-34.46533,3245.081,36.83811,25.01085,623.2291
9/5/2021 1:43:00 AM,1.635561,1.665943,0.8029513,0.8405671,-35.23627,3239.656,36.83811,25.01085,624.3229
9/5/2021 1:44:00 AM,1.635561,1.665943,0.7942708,0.8405671,-27.84436,3259.549,36.83811,24.79384,623.2291
9/5/2021 1:45:00 AM,1.635561,1.67173,0.7921007,0.8405671,-29.88507,3259.549,36.83811,25.86082,622.2396
9/5/2021 1:46:00 AM,1.635561,1.66088,0.8043981,0.8405671,-29.88507,3248.698,36.83811,24.63108,623.2813
9/5/2021 1:47:00 AM,1.635561,1.660156,0.7957175,0.8752893,-32.56067,3248.698,36.83811,25.67998,623.9583
