 ,10MBY10CE901XQ01,10MKA71CT011AXQ01,10MKA72CT011AZQ01,10MKA20CT001AXQ01,10MKA20CT002AXQ01,10MKA20CT003AXQ01,10MKA20CT004AXQ01,10MKA20CT005AXQ01,10MKA20CT006AXQ01,10MKA20CT007AXQ01
,ACTIVE POWER,TEMP CG D/STR CLR,TEMP WARM GAS U/STR CLR,TEMP STR SLOT TE,TEMP STR SLOT TE,TEMP STR SLOT TE,TEMP STR SLOT TE,TEMP STR SLOT TE,TEMP STR SLOT TE,TEMP STR SLOT TE
Date Time,MW,°C,°C,°C,°C,°C,°C,°C,°C,°C
9/5/2021 12:00:00 AM,621.7188,43.60001,62.70001,68.89999,67.30002,67,67.60001,66.80002,67.80002,67
9/5/2021 12:01:00 AM,617.5,43.60001,62.60001,68.89999,67.30002,67,67.60001,66.80002,67.80002,67
9/5/2021 12:02:00 AM,621.6146,43.60001,62.5,68.89999,67.30002,67,67.60001,66.80002,67.80002,67
9/5/2021 12:03:00 AM,624.8958,43.60001,62.39999,68.89999,67.30002,67,67.60001,66.80002,68.10001,67
9/5/2021 12:04:00 AM,622.7083,43.5,62.30002,68.89999,67.30002,67,67.60001,66.80002,68.10001,67
9/5/2021 12:05:00 AM,622.4479,43.5,62.30002,69.10001,67.30002,67,67.60001,66.80002,67,67
9/5/2021 12:06:00 AM,623.75,43.5,62.30002,69.10001,67.30002,67.20001,67.60001,66.89999,68.20001,67
9/5/2021 12:07:00 AM,622.2396,43.5,62.30002,69.10001,67.30002,67.20001,67.60001,66.89999,68.10001,67.20001
9/5/2021 12:08:00 AM,623.8021,43.5,62.30002,69.10001,67.30002,67.20001,67.60001,66.89999,68.20001,67.20001
9/5/2021 12:09:00 AM,622.9166,43.5,62.20001,69.10001,67.5,67.20001,67.60001,66.89999,68.20001,67.20001
9/5/2021 12:10:00 AM,622.6563,43.5,62.20001,69.10001,67.5,67.20001,67.60001,66.89999,68.10001,67.20001
9/5/2021 12:11:00 AM,625,43.5,62.20001,69.10001,67.5,67.20001,67.60001,66.89999,68.10001,67.20001
9/5/2021 12:12:00 AM,615.7813,43.5,62.20001,69.10001,67.5,67.20001,67.60001,67,68.10001,67.20001
9/5/2021 12:13:00 AM,608.6979,43.5,62.20001,69.10001,67.5,67.20001,67.70001,67,67.89999,67.20001
9/5/2021 12:14:00 AM,604.4791,43.5,62.10001,69.20001,67.5,67.20001,67.70001,67,67.89999,67.20001
9/5/2021 12:15:00 AM,607.5,43.5,62.10001,69.20001,67.5,67.20001,67.70001,67,67.89999,67.20001
9/5/2021 12:16:00 AM,611.6666,43.5,62,69.20001,67.5,67.20001,67.70001,67,67.89999,67.20001
9/5/2021 12:17:00 AM,615.3646,43.5,62,69.20001,67.5,67.20001,67.70001,67,67.89999,67.20001
9/5/2021 12:18:00 AM,621.1458,43.5,62.10001,69.20001,67.5,67.20001,67.70001,67,67.5,67.20001
9/5/2021 12:19:00 AM,622.8125,43.5,62.20001,69,67.5,67.20001,67.70001,67,67.5,67.20001
9/5/2021 12:20:00 AM,621.6146,43.5,62.20001,69,67.30002,67.20001,67.70001,67,67.5,67.20001
9/5/2021 12:21:00 AM,623.2813,43.5,62.30002,69,67.30002,67.20001,67.70001,66.80002,67.5,67
9/5/2021 12:22:00 AM,616.875,43.5,62.39999,69,67.30002,67,67.70001,66.80002,67.5,67
9/5/2021 12:23:00 AM,614.7396,43.5,62.39999,69,67.30002,67,67.5,66.80002,68.10001,67
9/5/2021 12:24:00 AM,619.5313,43.5,62.39999,69,67.30002,67,67.5,66.80002,67.10001,67
9/5/2021 12:25:00 AM,620.5729,43.5,62.39999,69,67.30002,67,67.5,66.80002,67,67
9/5/2021 12:26:00 AM,622.7604,43.60001,62.5,68.89999,67.30002,67,67.5,66.80002,68,67
9/5/2021 12:27:00 AM,614.5833,43.60001,62.5,68.89999,67.30002,67,67.5,66.80002,67,67
9/5/2021 12:28:00 AM,616.4063,43.60001,62.5,68.89999,67.30002,67,67.5,66.80002,68,67
9/5/2021 12:29:00 AM,621.25,43.60001,62.5,68.89999,67.30002,67,67.5,66.80002,67.30002,67
9/5/2021 12:30:00 AM,621.0938,43.60001,62.5,68.89999,67.20001,67,67.5,66.80002,67.30002,67
9/5/2021 12:31:00 AM,623.125,43.60001,62.60001,68.89999,67.20001,67,67.5,66.80002,67.30002,67
9/5/2021 12:32:00 AM,623.3333,43.60001,62.70001,68.89999,67.20001,67,67.5,66.80002,67.10001,66.89999
9/5/2021 12:33:00 AM,624.3229,43.60001,62.70001,68.89999,67.20001,67,67.5,66.80002,67.10001,66.89999
9/5/2021 12:34:00 AM,623.9583,43.60001,62.70001,68.89999,67.20001,67,67.5,66.80002,67.10001,66.89999
9/5/2021 12:35:00 AM,624.3229,43.60001,62.70001,68.89999,67.20001,67,67.5,66.80002,67.89999,66.89999
9/5/2021 12:36:00 AM,624.3229,43.60001,62.70001,68.89999,67.20001,67,67.5,66.80002,67,66.89999
9/5/2021 12:37:00 AM,624.8438,43.60001,62.70001,68.89999,67.20001,67,67.5,66.80002,67,66.89999
9/5/2021 12:38:00 AM,622.8125,43.60001,62.70001,68.89999,67.20001,67,67.5,66.80002,67.20001,66.89999
9/5/2021 12:39:00 AM,624.9479,43.60001,62.60001,68.89999,67.20001,67,67.5,66.80002,67.10001,66.89999
9/5/2021 12:40:00 AM,620.625,43.60001,62.60001,68.89999,67.20001,67,67.5,66.80002,67.30002,66.89999
9/5/2021 12:41:00 AM,616.6666,43.60001,62.60001,68.89999,67.20001,67,67.5,66.80002,67.30002,66.89999
9/5/2021 12:42:00 AM,623.4375,43.60001,62.5,68.89999,67.30002,67,67.5,66.80002,67.30002,67
9/5/2021 12:43:00 AM,624.375,43.60001,62.5,68.89999,67.30002,67,67.5,66.80002,67.80002,67
9/5/2021 12:44:00 AM,625.8854,43.60001,62.5,68.89999,67.30002,67,67.5,66.80002,67.89999,67
9/5/2021 12:45:00 AM,623.4896,43.60001,62.60001,68.89999,67.30002,67,67.60001,66.80002,67.89999,67
9/5/2021 12:46:00 AM,623.2291,43.60001,62.5,69,67.30002,67,67.60001,66.80002,68,67
9/5/2021 12:47:00 AM,625.4166,43.60001,62.5,69,67.30002,67,67.60001,66.80002,67.10001,67
9/5/2021 12:48:00 AM,623.8021,43.60001,62.5,69,67.30002,67,67.60001,66.80002,67.10001,67
9/5/2021 12:49:00 AM,624.4271,43.60001,62.5,69,67.30002,67,67.60001,66.80002,68,67
9/5/2021 12:50:00 AM,621.6666,43.60001,62.5,69,67.30002,67,67.60001,66.80002,68,67
9/5/2021 12:51:00 AM,623.2813,43.60001,62.5,69,67.30002,67,67.60001,66.80002,67.5,67.10001
9/5/2021 12:52:00 AM,625.4688,43.60001,62.5,69,67.30002,67,67.60001,66.80002,67.5,67.10001
9/5/2021 12:53:00 AM,625.9375,43.60001,62.5,69,67.30002,67.10001,67.60001,66.80002,67.5,67.10001
9/5/2021 12:54:00 AM,620.5729,43.60001,62.5,69,67.39999,67.10001,67.60001,66.80002,67.89999,67.10001
9/5/2021 12:55:00 AM,625.2083,43.60001,62.5,69,67.39999,67.10001,67.60001,66.89999,67.89999,67.10001
9/5/2021 12:56:00 AM,624.8438,43.60001,62.5,69,67.39999,67.10001,67.60001,66.89999,68.10001,67.10001
9/5/2021 12:57:00 AM,622.7083,43.60001,62.5,69,67.39999,67.10001,67.60001,66.89999,67.10001,67.10001
9/5/2021 12:58:00 AM,623.8541,43.60001,62.5,69.10001,67.39999,67.10001,67.60001,66.89999,67.20001,67.10001
9/5/2021 12:59:00 AM,625.4166,43.60001,62.39999,69.10001,67.39999,67.10001,67.70001,66.89999,67.10001,67.10001
9/5/2021 1:00:00 AM,624.3229,43.60001,62.39999,69.10001,67.39999,67.10001,67.70001,66.89999,68.10001,67.10001
9/5/2021 1:01:00 AM,623.9063,43.60001,62.39999,69.10001,67.39999,67.20001,67.70001,66.89999,67.5,67.10001
9/5/2021 1:02:00 AM,623.8021,43.60001,62.5,69.10001,67.39999,67.20001,67.70001,66.89999,67.5,67.10001
9/5/2021 1:03:00 AM,624.8958,43.60001,62.5,69.10001,67.39999,67.20001,67.70001,66.89999,67.60001,67.10001
9/5/2021 1:04:00 AM,624.9479,43.60001,62.39999,69.10001,67.39999,67.20001,67.70001,67,67.60001,67.10001
9/5/2021 1:05:00 AM,624.3229,43.60001,62.5,69.10001,67.39999,67.20001,67.70001,67,67.60001,67.20001
9/5/2021 1:06:00 AM,624.3229,43.60001,62.5,69.10001,67.39999,67.20001,67.70001,67,67.60001,67.20001
9/5/2021 1:07:00 AM,623.8021,43.60001,62.5,69.10001,67.39999,67.20001,67.70001,67,67.60001,67.20001
9/5/2021 1:08:00 AM,623.3854,43.60001,62.5,69.10001,67.39999,67.20001,67.70001,67,67.60001,67.20001
9/5/2021 1:09:00 AM,624.4271,43.60001,62.5,69.10001,67.5,67.20001,67.70001,67,67.60001,67.20001
9/5/2021 1:10:00 AM,621.0938,43.60001,62.5,69.10001,67.5,67.20001,67.70001,67,68.20001,67.20001
9/5/2021 1:11:00 AM,616.4063,43.60001,62.39999,69.10001,67.5,67.20001,67.70001,67,68.20001,67.20001
9/5/2021 1:12:00 AM,621.1979,43.60001,62.30002,69.10001,67.5,67.20001,67.70001,67,68.20001,67.20001
9/5/2021 1:13:00 AM,621.6146,43.60001,62.30002,69.10001,67.5,67.20001,67.70001,67,67.30002,67.20001
9/5/2021 1:14:00 AM,624.8438,43.60001,62.30002,69.10001,67.5,67.20001,67.70001,67,67.30002,67.20001
9/5/2021 1:15:00 AM,620.1041,43.60001,62.30002,69.10001,67.5,67.20001,67.70001,67,67.30002,67.20001
9/5/2021 1:16:00 AM,623.8021,43.60001,62.30002,69.10001,67.5,67.20001,67.70001,67,67.30002,67.20001
9/5/2021 1:17:00 AM,623.8541,43.60001,62.20001,69.10001,67.5,67.20001,67.70001,67,67.39999,67.20001
9/5/2021 1:18:00 AM,621.0938,43.60001,62.20001,69.10001,67.5,67.20001,67.70001,67,67.39999,67.20001
9/5/2021 1:19:00 AM,623.8541,43.60001,62.20001,69.10001,67.5,67.20001,67.70001,67,67.30002,67.20001
9/5/2021 1:20:00 AM,623.2291,43.5,62.20001,69.10001,67.5,67.20001,67.70001,67,67.39999,67.20001
9/5/2021 1:21:00 AM,622.8646,43.5,62.20001,69.10001,67.5,67.20001,67.70001,67,67.39999,67.20001
9/5/2021 1:22:00 AM,622.7083,43.5,62.20001,69.10001,67.5,67.20001,67.70001,67,67.30002,67.20001
9/5/2021 1:23:00 AM,620.1041,43.5,62.20001,69.10001,67.5,67.20001,67.70001,67,68.30002,67.20001
9/5/2021 1:24:00 AM,613.6458,43.5,62.20001,69.10001,67.5,67.20001,67.70001,67,67.10001,67.20001
9/5/2021 1:25:00 AM,616.875,43.5,62.10001,69.10001,67.5,67.20001,67.70001,67,68.10001,67.20001
9/5/2021 1:26:00 AM,620.5729,43.5,62.10001,69.20001,67.5,67.20001,67.70001,67,67.5,67.20001
9/5/2021 1:27:00 AM,619.5313,43.5,62.10001,69.20001,67.5,67.20001,67.70001,67,67.5,67.20001
9/5/2021 1:28:00 AM,615.7813,43.5,62.10001,69.20001,67.5,67.20001,67.70001,67,67.5,67.20001
9/5/2021 1:29:00 AM,607.1354,43.40001,62.10001,69.20001,67.5,67.20001,67.70001,67,68,67.20001
9/5/2021 1:30:00 AM,614.2708,43.40001,62,69.20001,67.5,67.20001,67.70001,67,68,67.20001
9/5/2021 1:31:00 AM,617.3958,43.40001,61.89999,69.10001,67.5,67.20001,67.70001,67,67.60001,67.20001
9/5/2021 1:32:00 AM,622.2396,43.40001,61.89999,69.10001,67.39999,67.20001,67.70001,66.89999,67.60001,67.20001
9/5/2021 1:33:00 AM,620.0521,43.40001,62,69.10001,67.39999,67.20001,67.70001,66.89999,67.60001,67.20001
9/5/2021 1:34:00 AM,619.6354,43.40001,62,69.10001,67.39999,67.20001,67.70001,66.89999,67.60001,67
9/5/2021 1:35:00 AM,614.6354,43.40001,62,69.10001,67.39999,67.20001,67.5,66.89999,67.60001,67
9/5/2021 1:36:00 AM,618.4375,43.40001,61.89999,69.10001,67.39999,67,67.5,66.89999,67.60001,67
9/5/2021 1:37:00 AM,619.6875,43.3,61.89999,69,67.30002,67,67.5,66.80002,67.60001,67
9/5/2021 1:38:00 AM,622.2396,43.3,61.89999,69,67.30002,67,67.5,66.80002,67.60001,67
9/5/2021 1:39:00 AM,617.3958,43.3,61.89999,69,67.30002,67,67.5,66.80002,67.30002,67
9/5/2021 1:40:00 AM,622.3438,43.3,61.89999,69,67.30002,67,67.5,66.80002,67.30002,67
9/5/2021 1:41:00 AM,622.2916,43.3,61.89999,69,67.30002,67,67.5,66.80002,67.30002,67
9/5/2021 1:42:00 AM,623.2291,43.3,61.89999,69,67.30002,67,67.5,66.80002,68,67
9/5/2021 1:43:00 AM,624.3229,43.3,61.89999,69,67.30002,67,67.5,66.80002,67.5,67
9/5/2021 1:44:00 AM,623.2291,43.3,61.89999,69,67.30002,67,67.5,66.80002,67.5,67
9/5/2021 1:45:00 AM,622.2396,43.3,61.89999,69,67.30002,67,67.5,66.80002,67.5,67
9/5/2021 1:46:00 AM,623.2813,43.3,61.89999,69,67.30002,67,67.5,66.80002,67.5,67
9/5/2021 1:47:00 AM,623.9583,43.3,61.89999,69,67.30002,67,67.5,66.80002,67.5,67
9/5/2021 1:48:00 AM,623.2813,43.2,61.80002,69,67.30002,67,67.5,66.80002,67.5,67
9/5/2021 1:49:00 AM,623.2813,43.2,61.80002,69,67.30002,67,67.5,66.80002,67.5,67
9/5/2021 1:50:00 AM,623.2813,43.2,61.80002,69,67.30002,67,67.5,66.80002,67.5,67
9/5/2021 1:51:00 AM,617.3958,43.2,61.80002,69,67.30002,67,67.5,66.80002,67.5,67
9/5/2021 1:52:00 AM,624.3229,43.2,61.80002,69,67.30002,67,67.5,66.80002,67.5,67
9/5/2021 1:53:00 AM,620.7813,43.2,61.80002,69,67.30002,67,67.5,66.80002,67.5,67
9/5/2021 1:54:00 AM,623.2291,43.2,61.80002,69,67.30002,67,67.5,66.80002,67.5,67
9/5/2021 1:55:00 AM,612.0833,43.2,61.80002,69,67.30002,67,67.5,66.80002,67.5,67
